   2.2130599416    0.1541788707    3.2498515497
   2.8118456111    0.1541788707    3.1869166399
   2.5124527763    0.6727424720    3.1869166399
   1.9136671068    0.6727424720    3.1869166399
   1.6142742720    0.1541788707    3.1869166399
   1.9136671068   -0.3643847306    3.1869166399
   2.5124527763   -0.3643847306    3.1869166399
   3.3844614736    0.1541788707    3.0008624678
   3.2275234264    0.7398796367    3.0008624678
   2.7987607076    1.1686423555    3.0008624678
   2.2130599416    1.3255804028    3.0008624678
   1.6273591755    1.1686423555    3.0008624678
   1.1985964568    0.7398796367    3.0008624678
   1.0416584095    0.1541788707    3.0008624678
   1.1985964568   -0.4315218953    3.0008624678
   1.6273591755   -0.8602846141    3.0008624678
   2.2130599416   -1.0172226614    3.0008624678
   2.7987607076   -0.8602846141    3.0008624678
   3.2275234264   -0.4315218953    3.0008624678
   3.9058814682    0.1541788707    2.6998204935
   3.8037918384    0.7331579319    2.6998204935
   3.5098364652    1.2423035734    2.6998204935
   3.0594707049    1.6202053168    2.6998204935
   2.5070153148    1.8212826346    2.6998204935
   1.9191045684    1.8212826346    2.6998204935
   1.3666491783    1.6202053168    2.6998204935
   0.9162834179    1.2423035734    2.6998204935
   0.6223280447    0.7331579319    2.6998204935
   0.9162834179   -0.9339458320    2.6998204935
   1.3666491783   -1.3118475754    2.6998204935
   1.9191045684   -1.5129248932    2.6998204935
   2.5070153148   -1.5129248932    2.6998204935
   3.0594707049   -1.3118475754    2.6998204935
   3.5098364652   -0.9339458320    2.6998204935
   3.8037918384   -0.4248001905    2.6998204935
   4.3533170389    0.1541788707    2.2969476961
   4.2739505000    0.7316133250    2.2969476961
   4.0417371363    1.2662221074    2.2969476961
   3.6738991507    1.7183557303    2.2969476961
   3.1977174038    2.0544815110    2.2969476961
   2.6485081175    2.2496705383    2.2969476961
   2.0670036320    2.2894465348    2.2969476961
   1.4963314749    2.1708594968    2.2969476961
   0.9788157892    1.9027044826    2.2969476961
   1.4963314749   -1.8625017554    2.2969476961
   2.0670036320   -1.9810887934    2.2969476961
